Nombre_distrito;Nº_Distrito;NOMBRE_ESPECIE;Nº_Unidades;
CHAMARTÍN;05;Sophora japonica;3743;
CHAMARTÍN;05;Ulmus pumila;2582;
CHAMARTÍN;05;Pinus pinea;1340;
CHAMARTÍN;05;Celtis australis;1168;
CHAMARTÍN;05;Robinia pseudoacacia;1155;
CHAMARTÍN;05;Ligustrum japonicum;943;
CHAMARTÍN;05;Prunus cerasifera subsp. Pissartii;932;
CHAMARTÍN;05;Melia azedarach;721;
CHAMARTÍN;05;Aesculus hippocastanum;642;
CHAMARTÍN;05;Populus alba 'bolleana';562;
CHAMARTÍN;05;Otros;6202;
;;Total;26051;
TETUÁN;06;Platanus x hybrida;4567;
TETUÁN;06;Ligustrum japonicum;906;
TETUÁN;06;Ulmus pumila;804;
TETUÁN;06;Prunus cerasifera subsp. Pissartii;721;
TETUÁN;06;Sophora japonica;528;
TETUÁN;06;Pinus pinea;527;
TETUÁN;06;Melia azedarach;513;
TETUÁN;06;Celtis australis;475;
TETUÁN;06;Aesculus hippocastanum;465;
TETUÁN;06;Cupressus sempervirens;423;
TETUÁN;06;Otros;5063;
;;Total;14992;
CHAMBERÍ;07;Sophora japonica;5883;
CHAMBERÍ;07;Platanus x hybrida;1741;
CHAMBERÍ;07;Ulmus pumila;862;
CHAMBERÍ;07;Celtis australis;737;
CHAMBERÍ;07;Ligustrum japonicum;643;
CHAMBERÍ;07;Melia azedarach;412;
CHAMBERÍ;07;Robinia pseudoacacia;323;
CHAMBERÍ;07;Koelreuteria paniculata;283;
CHAMBERÍ;07;Aesculus hippocastanum;267;
CHAMBERÍ;07;Prunus cerasifera subsp. Pissartii;233;
CHAMBERÍ;07;Cercis siliquastrum;190;
CHAMBERÍ;07;Pinus pinea;167;
CHAMBERÍ;07;Otros;1756;
;;Total;13497;
FUENCARRAL - EL PARDO;08;Platanus x hybrida;9474;
FUENCARRAL - EL PARDO;08;Ulmus pumila;5328;
FUENCARRAL - EL PARDO;08;Celtis australis;3879;
FUENCARRAL - EL PARDO;08;Pinus pinea;3224;
FUENCARRAL - EL PARDO;08;Robinia pseudoacacia;2494;
FUENCARRAL - EL PARDO;08;Melia azedarach;2147;
FUENCARRAL - EL PARDO;08;Prunus cerasifera 'Pissardii';2021;
FUENCARRAL - EL PARDO;08;Acer negundo;1714;
FUENCARRAL - EL PARDO;08;Sophora japonica;1449;
FUENCARRAL - EL PARDO;08;Morus alba;1416;
FUENCARRAL - EL PARDO;08;Populus x canadensis;1411;
FUENCARRAL - EL PARDO;08;Aesculus hippocastanum;1381;
FUENCARRAL - EL PARDO;08;Cupressus sempervirens;1192;
FUENCARRAL - EL PARDO;08;Ligustrum japonicum;1043;
FUENCARRAL - EL PARDO;08;Otros;20598;
;;Total;58771;
MONCLOA-ARAVACA;09;Platanus x hybrida;5400;
