parque;especie;unidades_2019;;;
jardines_de_sabatini;cupressus_sempervirens;85;;;
jardines_de_sabatini;pinus_pinea;52;;;
jardines_de_sabatini;acer_negundo;26;;;
jardines_de_sabatini;cedrus_deodara;22;;;
jardines_de_sabatini;magnolia_grandiflora;16;;;
jardines_de_sabatini;abies_nordmanniana;8;;;
jardines_de_sabatini;thuja_occidentalis;5;;;
jardines_de_sabatini;acer_pseudoplatanus;3;;;
jardines_de_sabatini;cercis_siliquastrum;1;;;
jardines_de_sabatini;ulmus_minor;1;;;
jardines_de_sabatini;otros;1;;;
parque_forestal_valdebebas;celtis_australis;1630;;;
parque_forestal_valdebebas;morus_alba_'fruitless';393;;;
parque_forestal_valdebebas;populusnigravar.italica;375;;;
parque_forestal_valdebebas;koelreuteria_paniculata;342;;;
parque_forestal_valdebebas;fraxinus_angustifolia;209;;;
parque_forestal_valdebebas;olea_europaea;159;;;
parque_forestal_valdebebas;prunus_amygdalus;139;;;
parque_forestal_valdebebas;pinus_pinea;136;;;
parque_forestal_valdebebas;cercis_siliquastrum;119;;;
parque_forestal_valdebebas;aesculus_hippocastanum;112;;;
parque_forestal_valdebebas;otros;2210;;;
casa_de_campo;pinus_pinea;301689;;;
casa_de_campo;quercus_ilex;208792;;;
casa_de_campo;cupresus_arizonica;33826;;;
casa_de_campo;ulmus_sp.;30758;;;
casa_de_campo;fraxinus_angustifolia;13575;;;
casa_de_campo;pinus_halepensis;9081;;;
casa_de_campo;cupresus_sempervirens;3686;;;
casa_de_campo;salix_sp.;1493;;;
casa_de_campo;populus_nigra;1263;;;
casa_de_campo;acer_negundo;922;;;
casa_de_campo;otros;66751;;;
;;785732;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
